@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute classification {0,1,2,3,4,5}
@attribute regression numeric

@data
392,'2017/02/12 13:19:59:471',2,-383.041443,-246.642502,2471.412598,116.167534,-267.635895,2450.519043,-151.006683,433.903015,2515.856445,3,?
393,'2017/02/12 13:19:59:502',2,-392.891541,-250.789841,2474.144775,114.041687,-261.320007,2448.221436,-156.008163,433.306915,2504.531494,3,?
394,'2017/02/12 13:19:59:535',2,-405.676453,-260.967651,2472.007813,108.796387,-256.500732,2440.383057,-162.165771,434.392731,2498.89209,3,?
395,'2017/02/12 13:19:59:569',2,-414.146545,-267.912384,2467.376709,96.888138,-252.681061,2430.404297,-165.70459,434.929443,2496.107178,3,?
396,'2017/02/12 13:19:59:602',2,-420.826843,-263.093567,2460.919434,90.6241,-250.288269,2420.364014,-168.314484,433.853119,2486.084717,3,?
397,'2017/02/12 13:19:59:635',2,-422.746735,-270.841797,2450.204346,87.137466,-248.242996,2408.225098,-169.656464,434.135498,2472.104248,3,?
398,'2017/02/12 13:19:59:670',2,-422.150696,-276.331818,2436.553711,91.754257,-249.912796,2404.265137,-172.368057,436.657837,2465.220703,3,?
399,'2017/02/12 13:19:59:703',2,-420.523254,-278.623962,2421.484375,95.758392,-255.722626,2400.583008,-172.424438,431.919556,2445.706299,3,?
400,'2017/02/12 13:19:59:735',2,-414.692261,-274.56308,2403.650635,98.675293,-260.351349,2396.539063,-171.830841,430.578918,2436.504395,3,?
401,'2017/02/12 13:19:59:769',2,-411.276886,-265.408691,2387.121338,106.093292,-263.616821,2396.262207,-169.70343,430.355713,2416.334473,3,?
402,'2017/02/12 13:19:59:802',2,-399.789886,-265.789551,2362.278564,111.819214,-269.525269,2393.050537,-165.386353,427.083557,2398.189697,3,?
403,'2017/02/12 13:19:59:835',2,-387.173157,-266.369019,2341.759033,114.516174,-272.900146,2386.727051,-161.601654,422.602997,2382.264893,3,?
404,'2017/02/12 13:19:59:870',2,-376.889923,-266.227661,2315.120117,115.081978,-274.096405,2377.887451,-157.202606,421.949585,2366.291748,3,?
405,'2017/02/12 13:19:59:902',2,-366.776489,-262.904663,2292.468262,120.997345,-276.73175,2365.829834,-150.238998,421.766266,2350.793945,3,?
406,'2017/02/12 13:19:59:936',2,-354.442261,-262.55957,2263.050049,125.730606,-282.082092,2348.106201,-139.64212,422.129822,2336.032471,3,?
407,'2017/02/12 13:19:59:971',2,-347.597382,-261.598572,2242.176758,128.057159,-283.202637,2335.152344,-131.863983,421.297028,2313.63501,3,?
408,'2017/02/12 13:20:00:002',2,-342.17688,-262.081268,2218.416992,136.264633,-289.470764,2318.855225,-120.406189,423.780487,2289.931396,3,?
409,'2017/02/12 13:20:00:035',2,-328.835602,-261.168823,2190.27124,139.404572,-292.022522,2293.032227,-111.791199,425.959167,2263.072266,3,?
410,'2017/02/12 13:20:00:070',2,-316.245789,-254.110352,2160.873047,148.082672,-292.799988,2267.313477,-102.582039,432.710785,2249.748047,3,?
411,'2017/02/12 13:20:00:103',2,-307.465332,-248.424149,2135.0896,152.434479,-285.778412,2237.140137,-92.389191,436.151184,2231.032471,3,?
412,'2017/02/12 13:20:00:136',2,-287.252625,-241.472565,2113.959717,166.968079,-275.347534,2203.806885,-82.950073,440.098755,2207.633789,3,?
413,'2017/02/12 13:20:00:170',2,-293.609375,-237.613556,2085.864746,177.596191,-261.289307,2167.928467,-73.732018,444.516357,2183.924072,3,?
414,'2017/02/12 13:20:00:202',2,-277.411224,-234.064178,2062.139404,189.87561,-259.129883,2128.352295,-65.578232,447.945007,2164.57373,3,?
415,'2017/02/12 13:20:00:236',2,-238.107056,-229.116302,2042.106323,200.985718,-253.062439,2086.97998,-58.603313,448.327881,2143.406006,3,?
